 9.31323e-13 2.53115e+19 1020.33 291.971		9.31323e-13 2.53115e+19 962.178 275.331
 1 2.27923e+19 907.161 288.279		1 2.27923e+19 854.775 271.632
 2 2.05872e+19 805.12 283.257		2 2.05872e+19 757.793 266.606
 3 1.86243e+19 712.899 277.245		3 1.86243e+19 670.085 260.595
 4 1.68509e+19 629.481 270.569		4 1.68509e+19 590.754 253.923
 5 1.52288e+19 554.065 263.519		5 1.52288e+19 519.082 246.88
 6 1.37317e+19 486.001 256.347		6 1.37317e+19 454.475 239.719
 7 1.23419e+19 424.739 249.263		7 1.23419e+19 396.427 232.647
 8 1.10482e+19 369.801 242.434		8 1.10482e+19 344.479 225.833
 9 9.84418e+18 320.747 235.993		9 9.84418e+18 298.207 219.409
 10 8.72645e+18 277.161 230.044		10 8.72645e+18 257.201 213.477
 11 7.693e+18 238.639 224.678		11 7.693e+18 221.063 208.131
 12 6.74168e+18 204.787 220.014		12 6.74168e+18 189.404 203.487
 13 5.87116e+18 175.22 216.161		13 5.87116e+18 161.841 199.656
 14 5.08044e+18 149.56 213.221		14 5.08044e+18 137.998 196.739
 15 4.36814e+18 127.432 211.3		15 4.36814e+18 117.505 194.839
 16 3.73317e+18 108.469 210.449		16 3.73317e+18 99.9956 194.008
 17 3.17623e+18 92.3061 210.492		17 3.17623e+18 85.1032 194.066
 18 2.6947e+18 78.5793 211.21		18 2.6947e+18 72.4726 194.796
 19 2.28294e+18 66.9464 212.398		19 2.28294e+18 61.7753 195.992
 20 1.93383e+18 57.0959 213.848		20 1.93383e+18 52.7167 197.446
 21 1.63944e+18 48.7514 215.382		21 1.63944e+18 45.0395 198.983
 22 1.39124e+18 41.676 216.971		22 1.39124e+18 38.5266 200.575
 23 1.18178e+18 35.6708 218.622		23 1.18178e+18 32.996 202.229
 24 1.00484e+18 30.5689 220.343		24 1.00484e+18 28.295 203.952
 25 8.55236e+17 26.2301 222.142		25 8.55236e+17 24.2951 205.754
 26 7.28624e+17 22.5367 224.029		26 7.28624e+17 20.8884 207.643
 27 6.21373e+17 19.3896 226.012		27 6.21373e+17 17.9841 209.629
 28 5.30441e+17 16.7052 228.103		28 5.30441e+17 15.5055 211.722
 29 4.53276e+17 14.4132 230.311		29 4.53276e+17 13.3882 213.933
 30 3.87734e+17 12.4543 232.65		30 3.87734e+17 11.5776 216.274
 31 3.32014e+17 10.7783 235.132		31 3.32014e+17 10.0277 218.757
 32 2.84604e+17 9.34292 237.771		32 2.84604e+17 8.69956 221.398
 33 2.44224e+17 8.11222 240.585		33 2.44224e+17 7.56019 224.213
 34 2.09812e+17 7.0559 243.578		34 2.09812e+17 6.58171 227.209
 35 1.80496e+17 6.14811 246.713		35 1.80496e+17 5.74028 230.347
 36 1.55524e+17 5.36681 249.94		36 1.55524e+17 5.01554 233.581
 37 1.34249e+17 4.69324 253.209		37 1.34249e+17 4.39019 236.859
 38 1.16116e+17 4.11143 256.459		38 1.16116e+17 3.84951 240.121
 39 1.0065e+17 3.60784 259.626		39 1.0065e+17 3.38101 243.303
 40 8.74474e+16 3.17097 262.641		40 8.74474e+16 2.97408 246.333
 41 7.6163e+16 2.79107 265.426		41 7.6163e+16 2.61976 249.134
 42 6.65052e+16 2.45989 267.903		42 6.65052e+16 2.31042 251.624
 43 5.82261e+16 2.17042 269.987		43 5.82261e+16 2.03962 253.717
 44 5.11159e+16 1.91673 271.595		44 5.11159e+16 1.80191 255.325
 45 4.49968e+16 1.69379 272.644		45 4.49968e+16 1.59264 256.361
 46 3.97153e+16 1.49734 273.074		46 3.97153e+16 1.40792 256.765
 47 3.51332e+16 1.32381 272.913		47 3.51332e+16 1.24449 256.561
 48 3.11362e+16 1.1702 272.215		48 3.11362e+16 1.09965 255.803
 49 2.76321e+16 1.03401 271.037		49 2.76321e+16 0.971121 254.552
 50 2.45459e+16 0.913131 269.445		50 2.45459e+16 0.856977 252.875
 51 2.18168e+16 0.805749 267.501		51 2.18168e+16 0.75557 250.842
 52 1.93948e+16 0.710325 265.271		52 1.93948e+16 0.665485 248.525
 53 1.72389e+16 0.625524 262.816		53 1.72389e+16 0.58549 245.995
 54 1.53154e+16 0.55019 260.197		54 1.53154e+16 0.514507 243.322
 55 1.3596e+16 0.483305 257.47		55 1.3596e+16 0.451586 240.572
 56 1.20576e+16 0.423977 254.683		56 1.20576e+16 0.39588 237.805
 57 1.06813e+16 0.371406 251.85		57 1.06813e+16 0.346623 235.044
 58 9.45085e+15 0.324877 248.98		58 9.45085e+15 0.30312 232.306
 59 8.35155e+15 0.283746 246.082		59 8.35155e+15 0.264745 229.603
 60 7.37021e+15 0.247435 243.163		60 7.37021e+15 0.230932 226.945
 61 6.495e+15 0.215422 240.23		61 6.495e+15 0.201172 224.339
 62 5.71524e+15 0.18724 237.29		62 5.71524e+15 0.175009 221.79
 63 5.01985e+15 0.162419 234.349		63 5.01985e+15 0.152041 219.375
 64 4.40068e+15 0.140602 231.414		64 4.40068e+15 0.131909 217.107
 65 3.85144e+15 0.121498 228.488		65 3.85144e+15 0.114283 214.919
 66 3.36494e+15 0.104799 225.577		66 3.36494e+15 0.0988686 212.813
 67 2.93466e+15 0.0902264 222.686		67 2.93466e+15 0.0854047 210.786
 68 2.55471e+15 0.0775333 219.818		68 2.55471e+15 0.0736591 208.834
 69 2.21977e+15 0.0664977 216.978		69 2.21977e+15 0.0634259 206.955
 70 1.92503e+15 0.0569214 214.168		70 1.92503e+15 0.0545222 205.141
 71 1.66614e+15 0.0486275 211.392		71 1.66614e+15 0.0467862 203.387
