 72 1.43916e+15 0.0414586 208.652		72 1.43916e+15 0.041459 208.654
 73 1.23485e+15 0.0351104 205.939		73 1.23485e+15 0.0351108 205.942
 74 1.06277e+15 0.0298167 203.207		74 1.06277e+15 0.0298172 203.21
 75 9.12817e+14 0.0252663 200.482		75 9.12817e+14 0.0252668 200.485
 76 7.82268e+14 0.0213632 197.801		76 7.82268e+14 0.0213637 197.805
 77 6.68772e+14 0.0180232 195.196		77 6.68772e+14 0.0180236 195.2
 78 5.70284e+14 0.0151722 192.696		78 5.70284e+14 0.0151726 192.701
 79 4.85014e+14 0.0127449 190.326		79 4.85014e+14 0.0127453 190.332
 80 4.11376e+14 0.0106841 188.111		80 4.11376e+14 0.0106844 188.118
 81 3.47966e+14 0.00893917 186.07		81 3.47966e+14 0.00893954 186.078
 82 2.93531e+14 0.0074659 184.223		82 2.93531e+14 0.00746627 184.233
 83 2.46951e+14 0.00622544 182.589		83 2.46951e+14 0.00622581 182.6
 84 2.07228e+14 0.00518386 181.185		84 2.07228e+14 0.00518423 181.198
 85 1.73467e+14 0.00431163 180.029		85 1.73467e+14 0.00431199 180.044
 86 1.44873e+14 0.00358309 179.138		86 1.44873e+14 0.00358345 179.156
 87 1.20737e+14 0.00297606 178.532		87 1.20737e+14 0.00297642 178.554
 88 1.00433e+14 0.00247144 178.233		88 1.00433e+14 0.0024718 178.259
 89 8.34069e+13 0.00205281 178.264		89 8.34069e+13 0.00205317 178.295
 90 6.91713e+13 0.00170615 178.652		90 6.91713e+13 0.00170651 178.69
 91 5.7305e+13 0.00141952 179.417		91 5.7305e+13 0.00141988 179.463
 92 4.74506e+13 0.00118276 180.539		92 4.74506e+13 0.00118312 180.595
 93 3.9293e+13 0.000987282 181.988		93 3.9293e+13 0.000987646 182.055
 94 3.25555e+13 0.000825847 183.735		94 3.25555e+13 0.000826212 183.816
 95 2.69995e+13 0.000692427 185.753		95 2.69995e+13 0.000692793 185.851
 96 2.2422e+13 0.000582027 188.012		96 2.2422e+13 0.000582394 188.13
 97 1.8652e+13 0.000490525 190.482		97 1.8652e+13 0.000490893 190.625
 98 1.55465e+13 0.000414537 193.129		98 1.55465e+13 0.000414906 193.301
 99 1.2987e+13 0.000351288 195.917		99 1.2987e+13 0.000351658 196.123
 100 1.08756e+13 0.000298511 198.803		100 1.08756e+13 0.000298511 198.803

