#z N_msis p_msis T_msis z N_o p_o T_o z N_n p_n T_n
56 1.30821e+16 0.489567 271.051 56 1.30654e+16 0.488511 270.812 56 1.30654e+16 0.487765 270.398
57 1.1659e+16 0.432202 268.498 57 1.16383e+16 0.431221 268.366 57 1.16383e+16 0.430538 267.941
58 1.03842e+16 0.38111 265.823 58 1.03605e+16 0.38022 265.811 58 1.03605e+16 0.379594 265.373
59 9.24235e+15 0.335633 263.026 59 9.21671e+15 0.334847 263.14 59 9.21671e+15 0.334272 262.688
60 8.21967e+15 0.295184 260.109 60 8.19334e+15 0.294509 260.348 60 8.19334e+15 0.29398 259.88
61 7.30389e+15 0.259237 257.075 61 7.27799e+15 0.258674 257.429 61 7.27799e+15 0.258186 256.944
62 6.48403e+15 0.22732 253.927 62 6.45953e+15 0.226865 254.38 62 6.45953e+15 0.226414 253.875
63 5.74855e+15 0.19895 250.67 63 5.72626e+15 0.198658 251.276 63 5.72626e+15 0.198241 250.749
64 5.08923e+15 0.173769 247.307 64 5.06977e+15 0.173677 248.125 64 5.06977e+15 0.173289 247.57
65 4.49995e+15 0.151497 243.845 65 4.48374e+15 0.15158 244.86 65 4.48374e+15 0.151216 244.272
66 3.97356e+15 0.131825 240.289 66 3.96083e+15 0.132055 241.483 66 3.96083e+15 0.131711 240.854
67 3.50362e+15 0.114472 236.646 67 3.49445e+15 0.114825 237.998 67 3.49445e+15 0.114498 237.32
68 3.08439e+15 0.0991888 232.922 68 3.07871e+15 0.099639 234.41 68 3.07871e+15 0.0993258 233.674
69 2.7107e+15 0.0857503 229.124 69 2.70835e+15 0.0862743 230.724 69 2.70835e+15 0.085973 229.919
70 2.37793e+15 0.0739548 225.26 70 2.37863e+15 0.074531 226.948 70 2.37863e+15 0.0742396 226.061
71 2.08191e+15 0.0636211 221.338 71 2.08534e+15 0.0642299 223.088 71 2.08534e+15 0.0639467 222.105
72 1.81891e+15 0.0545863 217.364 72 1.82469e+15 0.0552105 219.154 72 1.82469e+15 0.0549343 218.058
73 1.58577e+15 0.0466757 213.191 73 1.59455e+15 0.0473264 214.971 73 1.59455e+15 0.0470557 213.742
74 1.3861e+15 0.0398092 208.021 74 1.39625e+15 0.0404326 209.742 74 1.39625e+15 0.0401661 208.359
75 1.21186e+15 0.0338074 202.058 75 1.223e+15 0.0343976 203.712 75 1.223e+15 0.034134 202.151
76 1.05756e+15 0.028566 195.641 76 1.06931e+15 0.0291179 197.23 76 1.06931e+15 0.0288566 195.46
77 9.19507e+14 0.0240015 189.06 77 9.31517e+14 0.0245114 190.587 77 9.31517e+14 0.024252 188.571
78 7.95302e+14 0.0200444 182.548 78 8.0725e+14 0.0205098 184.022 78 8.0725e+14 0.0202523 181.711
79 6.83439e+14 0.0166341 176.286 79 6.95043e+14 0.0170538 177.716 79 6.95043e+14 0.0167981 175.051
80 5.82974e+14 0.0137157 170.407 80 5.93996e+14 0.0140897 171.804 80 5.93996e+14 0.0138357 168.708
81 4.93275e+14 0.0112377 165.008 81 5.03531e+14 0.011567 166.383 81 5.03531e+14 0.0113148 162.756
82 4.13851e+14 0.00915116 160.158 82 4.2321e+14 0.00943776 161.521 82 4.2321e+14 0.00918736 157.236
83 3.44221e+14 0.00740953 155.908 83 3.52607e+14 0.00765613 157.266 83 3.52607e+14 0.00740742 152.157
84 2.83852e+14 0.00596849 152.296 84 2.91236e+14 0.00617828 153.652 84 2.91236e+14 0.00593113 147.506
85 2.32118e+14 0.00478647 149.356 85 2.38515e+14 0.00496294 150.709 85 2.38515e+14 0.00471716 143.246
86 1.88306e+14 0.00382497 147.123 86 1.93765e+14 0.00397176 148.465 86 1.93765e+14 0.00372714 139.321
87 1.51634e+14 0.003049 145.639 87 1.56227e+14 0.00316975 146.955 87 1.56227e+14 0.00292604 135.656
88 1.21281e+14 0.00242732 144.961 88 1.25096e+14 0.00252554 146.227 88 1.25096e+14 0.00228248 132.154
89 9.64203e+13 0.00193249 145.166 89 9.95531e+13 0.0020115 146.347 89 9.95531e+13 0.00176885 128.692
90 7.62537e+13 0.00154091 146.364 90 7.87996e+13 0.00160376 147.412 90 7.87996e+13 0.00136127 125.123
91 6.00514e+13 0.00123254 148.661 91 6.21019e+13 0.00128197 149.516 91 6.21019e+13 0.00103943 121.229
92 4.71898e+13 0.000990507 152.029 92 4.88288e+13 0.00102891 152.622 92 4.88288e+13 0.000786135 116.611
93 3.70783e+13 0.000800749 156.42 93 3.83799e+13 0.000830224 156.678 93 3.83799e+13 0.000587054 110.787
94 2.91809e+13 0.000651859 161.797 94 3.02089e+13 0.000674188 161.645 94 3.02089e+13 0.000430487 103.215
95 2.30381e+13 0.000534749 168.12 95 2.38461e+13 0.000551415 167.486 95 2.38461e+13 0.000307068 93.2681
96 1.82705e+13 0.000442276 175.331 96 1.89026e+13 0.000454493 174.149 96 1.89026e+13 0.000209378 80.2278
97 1.4573e+13 0.000368875 183.336 97 1.5065e+13 0.000377629 181.557 97 1.5065e+13 0.000131548 63.246
98 1.17044e+13 0.000310239 191.984 98 1.20849e+13 0.00031632 189.583 98 1.20849e+13 6.87079e-05 41.1793
99 9.47681e+12 0.00026304 201.037 99 9.76845e+12 0.00026704 198.001 99 9.76845e+12 1.02003e-06 0.75632
100 7.74485e+12 0.000224712 210.151 100 7.96523e+12 0.000227137 206.541 100 7.96523e+12 0 0
